guid,text,tag,img_path
8,"Energetic training today with our San Antonio New Dollars/New Partners trainees 
",,data/8.jpg
1576,"Let your voice be heard! 18+ #endsuicide #blithe #selfharm #thinspo #bonespo #edo #hurt #cut 
",,data/1576.jpg
2320,"RT @Austin_Powers__: Shark Week would be so much better if the sharks had laser beams attached to their frickin' heads. 
",,data/2320.jpg
4912,"#TheTruthCaster http://t.co/S8jvqpKq5h
",,data/4912.jpg
3821,"RT @jarpad: Hey #WBSDCC look what we're up to!!!! @JensenAckles @paulwesley @iansomerhalder 
",,data/3821.jpg
1306,"@CogTn: How do we get fresh oil? Separate the flesh from the SEED!#crushed @bryancutshall 
",,data/1306.jpg
4555,"RT @DailyMailCeleb: Little Mix's Jesy has been showing off her engagement ring ? http://t.co/awZnuVyjDc http://t.co/YPDUXrrhgA
",,data/4555.jpg
259,"@bexmader recently I got a #wicked t-shirt! ? you like it? ? 
",,data/259.jpg
3216,"Absolute loml, my beautiful & kind hearted baby boy 
",,data/3216.jpg
881,"#Grim band logo of the day: Sabbat 
",,data/881.jpg
1037,"New #drawing #illustration #art #epic @2DArtbot #pen on #paper #awesome #strong #woman #girl #creativity #happy :3 
",,data/1037.jpg
2463,"RT @MrCocoyam: So my homeboy just got his heart broken 
",,data/2463.jpg
3760,"Outdoor rehearsing is always fun hot pole podium & wobbly poles. @rockandbikefest are you ready to be Thunderstruck? 
",,data/3760.jpg
3102,"New review up on my blog of An Imperfect Princess by Catherine Blakeney! 
",,data/3102.jpg
4074,"This is a great quote. Dragons can be beaten! http://t.co/LFNcLzaIqs http://t.co/W7aPkoeqaj
",,data/4074.jpg
2155,"RT @billoberstjr: With the great @SuzeLanier at #EgyptianTheatre in Hollywood. Her new film #Cut is getting buzz htt¡­ 
",,data/2155.jpg
5009,"RT @ALLCAPSMARVEL: overjoyed - bastille http://t.co/Sp6ci4Zdwh
",,data/5009.jpg
3292,"RT @metrotoronto: Shooting victim Lecent Ross remembered as vibrant, loving and happy at Rexdale community vigil htt¡­ 
",,data/3292.jpg
3599,"EUC! Banana Republic Ruffle V Neck Button Down Cardigan Gray Small Beautiful $70 
",,data/3599.jpg
1061,"#winter #northumberland #February #bleak #frozen #landscape #view #cloud #sun #frost #snow #dramaticsky #sky #storm¡­ 
",,data/1061.jpg
3927,"RT @Nunastic: Worshipful rabbits at Longthorpe Tower #BAAPboro #BAA2015 
",,data/3927.jpg
4461,"New York Giants Adult XXL Distressed-Style Zippered hooded jacket. http://t.co/EWaW0RJROW http://t.co/rDwl8dQlEs
",,data/4461.jpg
716,"RT @terrellcwoods: Early run to @GrandCentralMkt. Really dig this place. Hoping the #springarcade can be as vibrant soon #mydayinla 
",,data/716.jpg
2505,"I could easily move into one of these houseboats in Victoria's Fisherman's Wharf. So bright and cheerful! 
",,data/2505.jpg
